G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
11,1994,1994-11-26,"Nov 26, 1994",Sat,,Notre Dame,Notre Dame,Away,(17) USC, USC,Pac-10,T,17,17,6,4,1.0,T 1,
12,1994,1995-01-02,"Jan 2, 1995",Mon,,Notre Dame,Notre Dame,Neutral,(4) Colorado, Colorado,Big 8,L,24,41,6,5,1.0,L 1,"Fiesta Bowl (Fiesta Bowl (Tempe, AZ))"
1,1995,1995-09-02,"Sep 2, 1995",Sat,,(9) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Big Ten,L,15,17,0,1,0.0,L 1,
2,1995,1995-09-09,"Sep 9, 1995",Sat,,(25) Notre Dame, Notre Dame,Away,Purdue,Purdue,Big Ten,W,35,28,1,1,0.0,W 1,
3,1995,1995-09-16,"Sep 16, 1995",Sat,,(24) Notre Dame, Notre Dame,Home,Vanderbilt,Vanderbilt,SEC,W,41,0,2,1,0.0,W 2,
4,1995,1995-09-23,"Sep 23, 1995",Sat,,(21) Notre Dame, Notre Dame,Home,(13) Texas, Texas,SWC,W,55,27,3,1,0.0,W 3,
5,1995,1995-09-30,"Sep 30, 1995",Sat,,(15) Notre Dame, Notre Dame,Away,(7) Ohio State, Ohio State,Big Ten,L,26,45,3,2,0.0,L 1,
6,1995,1995-10-07,"Oct 7, 1995",Sat,,(23) Notre Dame, Notre Dame,Away,(15) Washington, Washington,Pac-10,W,29,21,4,2,0.0,W 1,
7,1995,1995-10-14,"Oct 14, 1995",Sat,,(17) Notre Dame, Notre Dame,Away,Army,Army,Ind,W,28,27,5,2,0.0,W 2,"East Rutherford, NJ"
8,1995,1995-10-21,"Oct 21, 1995",Sat,,(17) Notre Dame, Notre Dame,Home,(5) USC, USC,Pac-10,W,38,10,6,2,0.0,W 3,
9,1995,1995-10-28,"Oct 28, 1995",Sat,,(12) Notre Dame, Notre Dame,Home,Boston College,Boston College,Big East,W,20,10,7,2,0.0,W 4,
10,1995,1995-11-04,"Nov 4, 1995",Sat,,(8) Notre Dame, Notre Dame,Home,Navy,Navy,Ind,W,35,17,8,2,0.0,W 5,
11,1995,1995-11-18,"Nov 18, 1995",Sat,,(8) Notre Dame, Notre Dame,Away,Air Force,Air Force,WAC,W,44,14,9,2,0.0,W 6,
12,1995,1996-01-01,"Jan 1, 1996",Mon,,(6) Notre Dame, Notre Dame,Neutral,(8) Florida State, Florida State,ACC,L,26,31,9,3,0.0,L 1,"Orange Bowl (Orange Bowl (Miami, FL))"
1,1996,1996-09-05,"Sep 5, 1996",Thu,,(6) Notre Dame, Notre Dame,Away,Vanderbilt,Vanderbilt,SEC,W,14,7,1,0,,W 1,
2,1996,1996-09-14,"Sep 14, 1996",Sat,,(9) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,35,0,2,0,,W 2,
3,1996,1996-09-21,"Sep 21, 1996",Sat,,(9) Notre Dame, Notre Dame,Away,(6) Texas, Texas,Big 12,W,27,24,3,0,,W 3,
4,1996,1996-09-28,"Sep 28, 1996",Sat,,(5) Notre Dame, Notre Dame,Home,(4) Ohio State, Ohio State,Big Ten,L,16,29,3,1,,L 1,
5,1996,1996-10-12,"Oct 12, 1996",Sat,,(11) Notre Dame, Notre Dame,Home,(16) Washington, Washington,Pac-10,W,54,20,4,1,,W 1,
6,1996,1996-10-19,"Oct 19, 1996",Sat,,(8) Notre Dame, Notre Dame,Home,Air Force,Air Force,WAC,L,17,20,4,2,,L 1,
7,1996,1996-11-02,"Nov 2, 1996",Sat,,(19) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,54,27,5,2,,W 1,"Dublin, Ireland"
8,1996,1996-11-09,"Nov 9, 1996",Sat,,(17) Notre Dame, Notre Dame,Away,Boston College,Boston College,Big East,W,48,21,6,2,,W 2,
9,1996,1996-11-16,"Nov 16, 1996",Sat,,(14) Notre Dame, Notre Dame,Home,Pitt,Pitt,Big East,W,60,6,7,2,,W 3,
10,1996,1996-11-23,"Nov 23, 1996",Sat,,(10) Notre Dame, Notre Dame,Home,Rutgers,Rutgers,Big East,W,62,0,8,2,,W 4,
11,1996,1996-11-30,"Nov 30, 1996",Sat,,(10) Notre Dame, Notre Dame,Away,USC,USC,Pac-10,L,20,27,8,3,,L 1,
1,1997,1997-09-06,"Sep 6, 1997",Sat,,(11) Notre Dame, Notre Dame,Home,Georgia Tech,Georgia Tech,ACC,W,17,13,1,0,,W 1,
2,1997,1997-09-13,"Sep 13, 1997",Sat,,(12) Notre Dame, Notre Dame,Away,Purdue,Purdue,Big Ten,L,17,28,1,1,,L 1,
3,1997,1997-09-20,"Sep 20, 1997",Sat,,Notre Dame,Notre Dame,Home,(17) Michigan State, Michigan State,Big Ten,L,7,23,1,2,,L 2,
4,1997,1997-09-27,"Sep 27, 1997",Sat,,Notre Dame,Notre Dame,Away,(6) Michigan, Michigan,Big Ten,L,14,21,1,3,,L 3,
5,1997,1997-10-04,"Oct 4, 1997",Sat,,Notre Dame,Notre Dame,Away,(19) Stanford, Stanford,Pac-10,L,15,33,1,4,,L 4,
6,1997,1997-10-11,"Oct 11, 1997",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Big East,W,45,21,2,4,,W 1,
7,1997,1997-10-18,"Oct 18, 1997",Sat,,Notre Dame,Notre Dame,Home,USC,USC,Pac-10,L,17,20,2,5,,L 1,
8,1997,1997-10-25,"Oct 25, 1997",Sat,,Notre Dame,Notre Dame,Home,Boston College,Boston College,Big East,W,52,20,3,5,,W 1,
9,1997,1997-11-01,"Nov 1, 1997",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,21,17,4,5,,W 2,
10,1997,1997-11-15,"Nov 15, 1997",Sat,,Notre Dame,Notre Dame,Away,(11) LSU, LSU,SEC,W,24,6,5,5,,W 3,
11,1997,1997-11-22,"Nov 22, 1997",Sat,,Notre Dame,Notre Dame,Home,(22) West Virginia, West Virginia,Big East,W,21,14,6,5,,W 4,
12,1997,1997-11-29,"Nov 29, 1997",Sat,,Notre Dame,Notre Dame,Away,Hawaii,Hawaii,WAC,W,23,22,7,5,,W 5,
13,1997,1997-12-28,"Dec 28, 1997",Sun,,Notre Dame,Notre Dame,Neutral,(15) LSU, LSU,SEC,L,9,27,7,6,,L 1,"Independence Bowl (Independence Bowl (Shreveport, LA))"
