G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
12,2017,2017-11-25,"Nov 25, 2017",Sat,8:00 PM,(9) Notre Dame, Notre Dame,Away,(20) Stanford, Stanford,Pac-12,L,20,38,9,3,,L 1,"Stanford Stadium - Stanford, California"
13,2017,2018-01-01,"Jan 1, 2018",Mon,1:00 PM,(14) Notre Dame, Notre Dame,Neutral,(16) LSU, LSU,SEC,W,21,17,10,3,,W 1,"Citrus Bowl (Camping World Stadium - Orlando, Florida)"
1,2018,2018-09-01,"Sep 1, 2018",Sat,7:30 PM,(12) Notre Dame, Notre Dame,Home,(14) Michigan, Michigan,Big Ten,W,24,17,1,0,,W 1,
2,2018,2018-09-08,"Sep 8, 2018",Sat,3:30 PM,(8) Notre Dame, Notre Dame,Home,Ball State,Ball State,MAC,W,24,16,2,0,,W 2,
3,2018,2018-09-15,"Sep 15, 2018",Sat,2:30 PM,(8) Notre Dame, Notre Dame,Home,Vanderbilt,Vanderbilt,SEC,W,22,17,3,0,,W 3,
4,2018,2018-09-22,"Sep 22, 2018",Sat,12:00 PM,(8) Notre Dame, Notre Dame,Away,Wake Forest,Wake Forest,ACC,W,56,27,4,0,,W 4,
5,2018,2018-09-29,"Sep 29, 2018",Sat,7:30 PM,(8) Notre Dame, Notre Dame,Home,(7) Stanford, Stanford,Pac-12,W,38,17,5,0,,W 5,
6,2018,2018-10-06,"Oct 6, 2018",Sat,8:00 PM,(6) Notre Dame, Notre Dame,Away,(24) Virginia Tech, Virginia Tech,ACC,W,45,23,6,0,,W 6,
7,2018,2018-10-13,"Oct 13, 2018",Sat,,(5) Notre Dame, Notre Dame,Home,Pitt,Pitt,ACC,W,19,14,7,0,,W 7,
8,2018,2018-10-27,"Oct 27, 2018",Sat,8:00 PM,(3) Notre Dame, Notre Dame,Neutral,Navy,Navy,American,W,44,22,8,0,,W 8,
9,2018,2018-11-03,"Nov 3, 2018",Sat,7:15 PM,(3) Notre Dame, Notre Dame,Away,Northwestern,Northwestern,Big Ten,W,31,21,9,0,,W 9,
10,2018,2018-11-10,"Nov 10, 2018",Sat,7:30 PM,(3) Notre Dame, Notre Dame,Home,Florida State,Florida State,ACC,W,42,13,10,0,,W 10,
11,2018,2018-11-17,"Nov 17, 2018",Sat,2:30 PM,(3) Notre Dame, Notre Dame,Neutral,(12) Syracuse, Syracuse,ACC,W,36,3,11,0,,W 11,
12,2018,2018-11-24,"Nov 24, 2018",Sat,8:00 PM,(3) Notre Dame, Notre Dame,Away,USC,USC,Pac-12,W,24,17,12,0,,W 12,
13,2018,2018-12-29,"Dec 29, 2018",Sat,4:00 PM,(3) Notre Dame, Notre Dame,Neutral,(2) Clemson, Clemson,ACC,L,3,30,12,1,,L 1,Cotton Bowl
1,2019,2019-09-02,"Sep 2, 2019",Mon,,(9) Notre Dame, Notre Dame,Away,Louisville,Louisville,ACC,W,35,17,1,0,,W 1,
2,2019,2019-09-14,"Sep 14, 2019",Sat,,(7) Notre Dame, Notre Dame,Home,New Mexico,New Mexico,MWC,W,66,14,2,0,,W 2,
3,2019,2019-09-21,"Sep 21, 2019",Sat,,(7) Notre Dame, Notre Dame,Away,(3) Georgia, Georgia,SEC,L,17,23,2,1,,L 1,
4,2019,2019-09-28,"Sep 28, 2019",Sat,,(10) Notre Dame, Notre Dame,Home,(18) Virginia, Virginia,ACC,W,35,20,3,1,,W 1,
5,2019,2019-10-05,"Oct 5, 2019",Sat,,(9) Notre Dame, Notre Dame,Home,Bowling Green State,Bowling Green State,MAC,W,52,0,4,1,,W 2,
6,2019,2019-10-12,"Oct 12, 2019",Sat,,(9) Notre Dame, Notre Dame,Home,USC,USC,Pac-12,W,30,27,5,1,,W 3,
7,2019,2019-10-26,"Oct 26, 2019",Sat,,(8) Notre Dame, Notre Dame,Away,(19) Michigan, Michigan,Big Ten,L,14,45,5,2,,L 1,
8,2019,2019-11-02,"Nov 2, 2019",Sat,,(16) Notre Dame, Notre Dame,Home,Virginia Tech,Virginia Tech,ACC,W,21,20,6,2,,W 1,
9,2019,2019-11-09,"Nov 9, 2019",Sat,,(15) Notre Dame, Notre Dame,Away,Duke,Duke,ACC,W,38,7,7,2,,W 2,
10,2019,2019-11-16,"Nov 16, 2019",Sat,,(16) Notre Dame, Notre Dame,Home,(21) Navy, Navy,American,W,52,20,8,2,,W 3,
11,2019,2019-11-23,"Nov 23, 2019",Sat,,(15) Notre Dame, Notre Dame,Home,Boston College,Boston College,ACC,W,40,7,9,2,,W 4,
12,2019,2019-11-30,"Nov 30, 2019",Sat,,(15) Notre Dame, Notre Dame,Away,Stanford,Stanford,Pac-12,W,45,24,10,2,,W 5,
13,2019,2019-12-28,"Dec 28, 2019",Sat,,(14) Notre Dame, Notre Dame,Neutral,Iowa State,Iowa State,Big 12,W,33,9,11,2,,W 6,Camping World Bowl
1,2020,2020-09-12,"Sep 12, 2020",Sat,2:30 PM,(10) Notre Dame, Notre Dame,Home,Duke,Duke,ACC,W,27,13,1,0,,W 1,
2,2020,2020-09-19,"Sep 19, 2020",Sat,2:30 PM,(7) Notre Dame, Notre Dame,Home,South Florida,South Florida,American,W,52,0,2,0,,W 2,
3,2020,2020-10-10,"Oct 10, 2020",Sat,7:30 PM,(5) Notre Dame, Notre Dame,Home,Florida State,Florida State,ACC,W,42,26,3,0,,W 3,
4,2020,2020-10-17,"Oct 17, 2020",Sat,2:30 PM,(4) Notre Dame, Notre Dame,Home,Louisville,Louisville,ACC,W,12,7,4,0,,W 4,
5,2020,2020-10-24,"Oct 24, 2020",Sat,3:30 PM,(3) Notre Dame, Notre Dame,Away,Pitt,Pitt,ACC,W,45,3,5,0,,W 5,
6,2020,2020-10-31,"Oct 31, 2020",Sat,3:30 PM,(4) Notre Dame, Notre Dame,Away,Georgia Tech,Georgia Tech,ACC,W,31,13,6,0,,W 6,
7,2020,2020-11-07,"Nov 7, 2020",Sat,7:30 PM,(4) Notre Dame, Notre Dame,Home,(1) Clemson, Clemson,ACC,W,47,40,7,0,,W 7,
8,2020,2020-11-14,"Nov 14, 2020",Sat,3:30 PM,(2) Notre Dame, Notre Dame,Away,Boston College,Boston College,ACC,W,45,31,8,0,,W 8,
9,2020,2020-11-27,"Nov 27, 2020",Fri,3:30 PM,(2) Notre Dame, Notre Dame,Away,(25) North Carolina, North Carolina,ACC,W,31,17,9,0,,W 9,
10,2020,2020-12-05,"Dec 5, 2020",Sat,2:30 PM,(2) Notre Dame, Notre Dame,Home,Syracuse,Syracuse,ACC,W,45,21,10,0,,W 10,
11,2020,2020-12-19,"Dec 19, 2020",Sat,4:00 PM,(2) Notre Dame, Notre Dame,Neutral,(4) Clemson, Clemson,ACC,L,10,34,10,1,,L 1,ACC Championship Game
12,2020,2021-01-01,"Jan 1, 2021",Fri,4:00 PM,(4) Notre Dame, Notre Dame,Neutral,(1) Alabama, Alabama,SEC,L,14,31,10,2,,L 2,Rose Bowl
